Strategy,Final Equity [$],Return [%],Max Drawdown [%],Number of Trades,Win Rate [%],Sharpe Ratio,Duration,Parameters
S_BidAcc_ETHUSDT,99557.9198,-0.4421,-0.4421,9,33.3333,,0:00:01.241306,Default
S_BidAcc (Optimized)_ETHUSDT,99941.1122,-0.0589,-0.0589,1,0.0,,0:00:51.209336,"{'period': np.int64(5), 'delta_threshold_mult': np.float64(1.5), 'cv_buy_threshold': np.float64(2.0), 'top10_buy_threshold': np.float64(1.0)}"
S_BidExh_ETHUSDT,100143.6114,0.1436,-1.1383,19,47.3684,,0:00:00.944541,Default
S_BidExh (Optimized)_ETHUSDT,100982.9896,0.983,-0.6917,2,50.0,,0:00:15.416924,"{'reversal_delta_threshold': np.int64(-100), 'cv_increase_mult': np.float64(1.0)}"
S_BidWall_ETHUSDT,94640.0901,-5.3599,-5.5092,4,0.0,,0:00:01.834006,Default
S_BidWall (Optimized)_ETHUSDT,104853.8211,4.8538,-1.9767,2,100.0,,0:01:43.158114,"{'delta_bid_threshold': np.int64(50), 'cv_high': np.float64(2.5), 'top10_high': np.float64(1.0), 'price_approach_zone': np.float64(0.002)}"
S_AskAcc_ETHUSDT,98763.3777,-1.2366,-1.2584,10,60.0,,0:00:01.330818,Default
S_AskAcc (Optimized)_ETHUSDT,100131.9606,0.132,-0.0982,1,100.0,,0:01:28.886887,"{'period': np.int64(8), 'delta_threshold_mult': np.float64(1.0), 'cv_sell_threshold': np.float64(0.5), 'top10_sell_threshold': np.float64(0.6)}"
S_AskExh_ETHUSDT,98113.786,-1.8862,-2.3043,15,33.3333,,0:00:01.158350,Default
S_AskExh (Optimized)_ETHUSDT,98937.5878,-1.0624,-1.9898,2,50.0,,0:00:14.518409,"{'reversal_delta_threshold': np.int64(-100), 'cv_increase_mult': np.float64(1.0)}"
S_ImbReversal_ETHUSDT,99188.565,-0.8114,-1.2839,0,0.0,,0:00:00.917042,Default
S_ImbReversal (Optimized)_ETHUSDT,104205.4485,4.2054,-2.0391,2,50.0,,0:00:30.783813,"{'extreme_imb_threshold': np.int64(70), 'reversal_delta_threshold': np.int64(45)}"
S_LiquidityTrap_ETHUSDT,97726.8778,-2.2731,-2.99,10,20.0,,0:00:01.467235,Default
S_LiquidityTrap (Optimized)_ETHUSDT,101780.0644,1.7801,-2.0406,5,60.0,,0:00:23.013987,"{'delta_top10_large_change': np.float64(0.07), 'price_no_move_threshold': np.float64(5e-05), 'cv_high': np.float64(1.5)}"
S_AskAccumulationShort_ETHUSDT,99682.7776,-0.3172,-0.3227,10,60.0,,0:00:01.323651,Default
S_AskAccumulationShort (Optimized)_ETHUSDT,99949.0687,-0.0509,-0.1074,1,0.0,,0:00:25.541821,"{'period': np.int64(7), 'delta_threshold_mult': np.float64(1.0), 'cv_sell_threshold': np.float64(0.5), 'top10_sell_threshold': np.float64(0.6)}"
